Timestep;NBPresence;NBPresencePercentage
790;9;0,173076923
791;7;0,134615385
792;8;0,153846154
793;6;0,115384615
794;6;0,115384615
795;6;0,115384615
796;5;0,096153846
797;5;0,096153846
798;6;0,115384615
799;5;0,096153846
800;6;0,115384615
801;3;0,057692308
802;4;0,076923077
803;4;0,076923077
804;4;0,076923077
805;5;0,096153846
806;6;0,115384615
807;5;0,096153846
808;6;0,115384615
809;2;0,038461538
810;2;0,038461538
811;0;0
812;0;0
813;0;0
814;0;0
815;0;0
816;0;0
817;0;0
818;1;0,019230769
819;2;0,038461538
820;2;0,038461538
821;0;0
822;0;0
823;1;0,019230769
824;1;0,019230769
825;1;0,019230769
826;1;0,019230769
827;1;0,019230769
828;1;0,019230769
829;0;0
830;0;0
831;2;0,038461538
832;1;0,019230769
833;0;0
834;0;0
835;0;0
836;3;0,057692308
837;2;0,038461538
838;2;0,038461538
839;2;0,038461538
840;1;0,019230769
841;2;0,038461538
842;5;0,096153846
843;3;0,057692308
844;2;0,038461538
845;2;0,038461538
846;3;0,057692308
847;3;0,057692308
848;2;0,038461538
849;1;0,019230769
850;1;0,019230769
851;1;0,019230769
852;1;0,019230769
853;0;0
854;0;0
855;1;0,019230769
856;1;0,019230769
857;1;0,019230769
858;1;0,019230769
859;1;0,019230769
860;2;0,038461538
861;3;0,057692308
862;2;0,038461538
863;2;0,038461538
864;2;0,038461538
865;3;0,057692308
866;2;0,038461538
867;1;0,019230769
868;2;0,038461538
869;1;0,019230769
870;1;0,019230769
871;1;0,019230769
872;1;0,019230769
873;0;0
874;0;0
875;1;0,019230769
876;0;0
877;0;0
